USERID,r_score,f_score,m_score,rfm_wscore
52320,5,1,1,3.4
52321,2,1,1,1.6
52322,1,1,1,0.9999999999999999
52325,4,1,1,2.8
52327,1,1,1,0.9999999999999999
52330,2,1,1,1.6
52331,4,1,1,2.8
52333,1,1,1,0.9999999999999999
52334,5,1,1,3.4
52335,2,1,1,1.6
52336,1,1,1,0.9999999999999999
52340,2,1,1,1.6
52341,2,1,1,1.6
52342,5,1,1,3.4
52348,5,1,1,3.4
52349,2,1,1,1.6
52353,5,1,1,3.4
52355,3,1,1,2.1999999999999997
52357,1,1,1,0.9999999999999999
52359,1,1,1,0.9999999999999999
52360,3,1,1,2.1999999999999997
52363,5,1,1,3.4
52367,4,1,1,2.8
52368,2,1,1,1.6
52372,1,1,1,0.9999999999999999
52373,1,1,1,0.9999999999999999
52374,2,1,1,1.6
52376,4,1,1,2.8
52378,4,1,1,2.8
52379,3,1,1,2.1999999999999997
52381,3,1,1,2.1999999999999997
52382,5,1,1,3.4
52383,4,1,1,2.8
52384,2,1,1,1.6
52386,5,1,1,3.4
52387,5,1,1,3.4
52388,3,1,1,2.1999999999999997
52389,5,1,1,3.4
52390,2,1,1,1.6
52394,4,1,1,2.8
52398,2,1,1,1.6
52400,4,1,1,2.8
52401,5,1,1,3.4
52402,4,1,1,2.8
52403,3,1,1,2.1999999999999997
52406,1,1,1,0.9999999999999999
52407,4,1,1,2.8
52409,4,1,1,2.8
52413,5,1,1,3.4
52414,4,1,1,2.8
52419,5,1,1,3.4
52420,4,1,1,2.8
52421,5,1,1,3.4
52426,4,1,1,2.8
52430,5,1,1,3.4
52431,2,1,1,1.6
52432,5,2,1,3.7
52433,4,1,1,2.8
52437,3,1,1,2.1999999999999997
52438,4,1,1,2.8
52440,2,1,1,1.6
52441,3,1,1,2.1999999999999997
52443,4,1,1,2.8
52445,4,1,1,2.8
52446,4,2,1,3.1
52452,5,1,1,3.4
52453,2,1,1,1.6
52455,2,1,1,1.6
52456,4,1,1,2.8
52458,4,1,1,2.8
52459,1,1,1,0.9999999999999999
52462,1,1,1,0.9999999999999999
52465,5,1,1,3.4
52466,4,1,1,2.8
52471,1,1,1,0.9999999999999999
52475,4,1,1,2.8
52478,4,1,1,2.8
52482,3,1,1,2.1999999999999997
52483,4,1,1,2.8
52484,1,1,1,0.9999999999999999
52486,5,1,1,3.4
52487,3,1,1,2.1999999999999997
52488,5,2,1,3.7
52489,3,1,1,2.1999999999999997
52490,2,1,1,1.6
52491,1,1,1,0.9999999999999999
52492,2,1,1,1.6
52493,3,1,1,2.1999999999999997
52494,3,1,1,2.1999999999999997
52495,4,1,1,2.8
52497,5,1,1,3.4
52498,4,1,1,2.8
52501,4,1,1,2.8
52505,4,1,1,2.8
52506,4,1,1,2.8
52508,1,1,1,0.9999999999999999
52510,4,1,1,2.8
52511,2,1,1,1.6
52512,4,1,1,2.8
52513,1,1,1,0.9999999999999999
52514,2,1,1,1.6
52517,1,1,1,0.9999999999999999
52518,3,1,1,2.1999999999999997
52519,5,1,1,3.4
52524,1,1,1,0.9999999999999999
52525,2,1,1,1.6
52527,4,1,1,2.8
52529,3,1,1,2.1999999999999997
52530,1,1,1,0.9999999999999999
52531,4,1,1,2.8
52534,2,1,1,1.6
52537,3,1,1,2.1999999999999997
52539,1,1,1,0.9999999999999999
52541,1,1,1,0.9999999999999999
52545,3,1,1,2.1999999999999997
52546,4,1,1,2.8
52547,4,1,1,2.8
52548,5,1,1,3.4
52550,4,1,1,2.8
